target_variable,RMSE_2_back_DFM,RMSE_1_back_DFM,RMSE_0_back_DFM,RMSE_1_ahead_DFM,RMSE_2_ahead_DFM,RMSE_DFM,MAE_2_back_DFM,MAE_1_back_DFM,MAE_0_back_DFM,MAE_1_ahead_DFM,MAE_2_ahead_DFM,MAE_DFM,RMSE_2_back_LSTM,RMSE_1_back_LSTM,RMSE_0_back_LSTM,RMSE_1_ahead_LSTM,RMSE_2_ahead_LSTM,RMSE_LSTM,MAE_2_back_LSTM,MAE_1_back_LSTM,MAE_0_back_LSTM,MAE_1_ahead_LSTM,MAE_2_ahead_LSTM,MAE_LSTM,x_cn,x_us,x_de,x_jp,x_nl,x_kr,x_fr,x_it,x_uk,x_mx,x_ca,x_be,x_ru,x_in,x_br,x_za,x_oecd,x_briics,ipi_us,ipi_jp,ipi_de,ipi_kr,ipi_it,ipi_fr,ipi_uk,ipi_mx,ipi_ru,ipi_ca,ipi_es,ipi_oecd,rti_val_us,rti_val_jp,rti_val_de,rti_val_uk,rti_val_fr,rti_val_it,rti_val_es,rti_val_ca,rti_vol_us,rti_vol_jp,rti_vol_de,rti_vol_uk,rti_vol_fr,rti_vol_it,rti_vol_mx,rti_vol_br,rti_vol_es,rti_vol_ca,rti_vol_kr,rti_vol_oecd,constr_us,constr_jp,constr_de,constr_uk,constr_fr,constr_ca,constr_oecd,x_servs_oecd,fdi_world,fdi_oecd,cci_us,cci_cn,cci_de,cci_jp,cci_uk,cci_fr,cci_br,cci_kr,cci_oecd,bci_us,bci_cn,bci_de,bci_jp,bci_uk,bci_fr,bci_br,bci_kr,bci_nl,bci_oecd,export_orders_us,export_orders_de,export_orders_it,export_orders_nl,export_orders_fr,export_orders_uk,manuf_orders_us,manuf_orders_de,manuf_orders_uk,manuf_orders_nl,manuf_orders_fr,manuf_orders_it,x_servs_de,x_servs_fr,ipi_eu27,is_fr,mar_freight_de,mar_freight_nl,tourists_de,tourists_es,tourists_fr,tourists_it,tourists_uk,coincident_us,x_servs_us,manuf_shipments_us,manuf_orders_us_2,adv_rti_us,x_servs_cn,x_servs_sg,x_cn_2,constr_cn,freight_mar_cn,ipi_cn,rti_cn,pmi_manuf_cn,export_orders_cn,pmi_nm_cn2,pmi_total_cn,is_cn,x_hk,x_servs_jp,ind_orders_ez,x_servs_ez,p_manuf,x_world,x_vol_world,x_vol_us,x_vol_jp,x_vol_ez,x_vol_cn,x_vol_ema,x_vol_cis,x_vol_lac,x_vol_afr,x_uv_world,tourists_mx,bci_servs_eu,container_index,is_jp,is_uk,is_br,ipi_br,tourists_tk,container_sg,x_sg,air_freight_total_lhr,air_freight_intl_lhr,air_freight_hkg,p_comm,x_vol_world2,x_servs_uk2,fdi_cn,fdi_in,baltic,harpex,pmi_manuf_us,pmi_nm_us,pmi_nm_cn,oil_x,oil_prod,tourists_th,tourists_neasia,tourists_seasia,tourists_world,container_hk,transit_pa_canal,transit_suez_canal,air_freight_mem,container_exports_la,container_total_la,x_servs_world,x_servs_in,manuf_ba_conf_pl,manuf_ba_conf_ch,manuf_ba_conf_de,manuf_ba_conf_it,manuf_ba_conf_nl,manuf_emp_fut_de,manuf_emp_fut_it,manuf_emp_fut_nl,serv_conf_fr,serv_conf_nl,serv_emp_fut_nl,shipfix_de,shipfix_nl,shipfix_cn,shipfix_hk,shipfix_us,shipfix_fr,shipfix_uk,shipfix_jp,shipfix_sg,shipfix_ae,ipi_in,tourists_us,cci_id,fc_gdp_us,fc_gdp_jp,fc_gdp_de,fc_gdp_uk,fc_gdp_oecd,fc_x_us,fc_x_de,fc_x_nl,fc_x_jp
x_world,0.022040178871355003,0.020535124210246003,0.015032453234966001,0.011618815725924998,0.00985802427378,0.015816919263254,0.015583341750116999,0.015884695081305,0.012402374855081997,0.010003605490540001,0.007897562714349,0.012354315978278999,0.01602686482496282,0.01609044798762729,0.012560927207677928,0.011471832687653316,0.007739565460220294,0.01277792763362833,0.013062929186742282,0.013751263573426006,0.008768843529693352,0.010471097514766246,0.005974142569577833,0.010405655274841144,0,0,0,0,0,0,0,0,8,0,0,12,0,0,0,6,0,4,0,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
x_world,0.017299335005441004,0.015595966180502,0.015498061123152999,0.014194482272237,0.013331818113208,0.015183932538908,0.014364512089598,0.013185685138284999,0.013226842502793998,0.011516843050045002,0.010902636481871,0.012639303852518,0.017803152485160602,0.016398742540147733,0.02025777403002051,0.014311115854147207,0.011478596199952926,0.016049876221885796,0.01382435827991171,0.013245947971305096,0.015870259282947004,0.010550387337658958,0.009757826238725738,0.012649755822109702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0
x_world,0.020844213377726,0.015854900695426,0.018920680269558,0.015286975186418002,0.013157500612079999,0.016812854028241998,0.017755578031461997,0.014531183112869,0.015666904719684,0.010798910310943,0.011407321654469001,0.014031979565885,0.015395342454463966,0.017755683254750586,0.016278560811863952,0.011803070165405358,0.009196459770226529,0.014085823291342076,0.013203133051254349,0.015694052674890338,0.013372534306035935,0.00964834124332872,0.007949786772719538,0.011973569609645776,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
x_world,0.024436785525587996,0.027921314820555,0.027053965439207996,0.023207888247679002,0.017288995827746,0.023981789972155002,0.019047744448881,0.022139514754525,0.021810932277910998,0.020096633551718,0.013712653789764,0.01936149576456,0.01873021709413413,0.01730604530335557,0.01663777705374752,0.014678915821464944,0.013571386962649628,0.016184868447070358,0.015783740404352216,0.012483602819567015,0.012308315493273233,0.01088838119578444,0.010828372701658547,0.01245848252292709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x_world,0.021760794636124,0.016067250190075,0.01142238046411,0.011619304000644,0.013213141468848999,0.01481657415196,0.016775503328696,0.012708450094023998,0.008334574195379,0.008783699145047,0.010664945435698998,0.011453434439769,0.014935550412460263,0.013574618595652097,0.01486748992978486,0.012253333955424174,0.007179888276126384,0.012562176233889555,0.0106064237142809,0.011468791711735723,0.011152713929004965,0.009846435533073097,0.004993584354246535,0.009613589848468244,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
x_world,0.023526576160479998,0.019348248966741,0.019348248966741,0.019348248966741,0.015377278562449,0.019389720324630003,0.020089311790278997,0.015561217499865,0.015561217499865,0.015561217499865,0.011451197868613998,0.015644832431697998,0.017615863301829474,0.017150533674068977,0.016614617510509747,0.015463370856861494,0.011792755056135397,0.015727428079881017,0.013100195622766677,0.014080153225489488,0.013896358784994844,0.011408242856229593,0.008612732785689883,0.012219536655034096,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x_world,0.023526576160479998,0.019348248966741,0.019348248966741,0.019348248966741,0.015377278562449,0.019389720324630003,0.020089311790278997,0.015561217499865,0.015561217499865,0.015561217499865,0.011451197868613998,0.015644832431697998,0.020995143223731017,0.01612650418103406,0.014403800891510327,0.010710565119673854,0.009835422444485795,0.01441428717208701,0.0185126386463556,0.011713449601689137,0.012180500861618641,0.009325659261799192,0.008462268907980457,0.012038903455888605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x_world,0.023526576160479998,0.019348248966741,0.019348248966741,0.019348248966741,0.015377278562449,0.019389720324630003,0.020089311790278997,0.015561217499865,0.015561217499865,0.015561217499865,0.011451197868613998,0.015644832431697998,0.009808286726356313,0.009308705551723473,0.008627155031978596,0.006501901703645154,0.006411725212519067,0.008131554845244521,0.008152831004911772,0.007018745814283522,0.007223964856366154,0.005429870442614325,0.0056780432804412655,0.006700691079723408,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x_world,0.027938580479788998,0.020518986798573998,0.017945428951844,0.016578953100612002,0.012586544487914,0.019113698763746998,0.021930697459479002,0.015455530934329999,0.014403215269698,0.014958488121296002,0.010603650783358,0.015470316513632001,0.017723035061241864,0.0146673605107403,0.012125294101957618,0.011755079287705658,0.009497395982292635,0.013153632988787616,0.01575284739974936,0.012283990711002009,0.010243293917720768,0.010181194570208841,0.008939158418104701,0.011480097003357136,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,9,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
x_world,0.020268926327876,0.021311488860234,0.021754520162706,0.016863686657603003,0.01246545667169,0.018532815736022,0.016104966376942,0.017816942827507,0.015877383119689,0.012417231407472999,0.009813811820312998,0.014406067110385001,0.013648592980710968,0.012077262465417873,0.016029555731260508,0.011769128134040366,0.009157574875783137,0.01253642283744257,0.010295237974002237,0.008129404873707316,0.012616017651844107,0.009415981876519978,0.00746395790190324,0.009584120055595375,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,17,0,0,15,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,0,19,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
